name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, multiple_name_flag, payload_flag, operational_status_code, satellite_name, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
Intelsat 12 (Europe*Star 1. Europe*Star FM1. IS-12. PAS-12), United Kingdom, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 45.04, 35776, 35796, 0.00023721415694088623, 0, 1436.09, 4167, 1729, 12000, 2000-10-29, 18 yrs., Alcatel Space Industries, France, Guiana Space Center, Ariane 44LP, 2000-068A, 26590, 30 Ku-band; highest powered Ku-band cross connection between South East Asia and Europe., null, JM/12_08, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, http://www.europestar.com/, null, null, null, 2000, 68, A, M, *, +, INTELSAT 12 (IS-12), ITSO, 2000-01-29, FRGUI, null, 2, null, 35803, 35770, 20.855, null
Intelsat 14 (IS-14), USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, -45, 35771, 35800, 0.0003439646072280011, 0.02, 1436.05, 5613, 2517, null, 2009-11-23, 16 yrs., Space Systems/Loral, USA, Cape Canaveral, Atlas, 2009-064A, 36097, 62 transponders. North and South America. Africa and Europe; will also carry an experiment for the US Department of Defense. Internet Routing in Space. or IRIS. is a technology demonstration project which will allow the satellite to perform IP routing rather than requiring a ground station to do so., null, SC - ASCR, http://www.intelsat.com/press/news-releases/2009/20091123-1.asp, http://www.technobahn.com/article/200911240948, http://www.lib.cas.cz/space.40/2009/064A.HTM, http://www.nasaspaceflight.com/2009/11/live-intelsat-14-set-to-launch-on-atlas-v-av-024/, null, null, 2009, 64, A, null, *, +, INTELSAT 14 (IS-14), ITSO, 2009-01-23, AFETR, null, 0, null, 35799, 35775, 25.9029, null
Intelsat 15 (IS-15. JCSat 85), USA, USA, Intelsat. S.A./Sky Perfect JSAT Corp., Commercial, Communications, null, GEO, null, 85, 35776, 35798, 0.0002609293830206134, 0.05, 1436.12, 2550, null, 4600, 2009-11-30, 17 yrs., Orbital Sciences Corp., USA, Baikonur Cosmodrome, Zenit 3SLB, 2009-067A, 36106, Will replace Intelsat 709; 22 Ku-band transponders; Data and video for customers in Russisa. the Middle East and Indian ocean area. Five transponders are directly owned by Sky Perfect JSAT Corp., null, JM/4_10, http://www.intelsat.com/press/news-releases/2009/20091130-1.asp, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2009/067A.HTM, http://www.orbital.com/SatellitesSpace/Communications/Intelsat15/, http://articles.janes.com/articles/Janes-Space-Systems-and-Industry/Space-Communications-Corporation-SCC-Japan.html, null, null, 2009, 67, A, M, *, +, INTELSAT 15 (IS-15), ITSO, 2009-01-30, TYMSC, null, 0, null, 35798, 35776, 12.5893, null
Intelsat 16 (IS-16), USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, -58.12, 35783, 35791, 0.0000948834120074958, 0.07, 1436.19, 2450, null, 4500, 2010-02-12, 15 yrs., Orbital Sciences Corp., USA, Baikonur Cosmodrome, Proton M, 2010-006A, 36397, 24 Ku-band transponders; direct-to-home to customers in Mexico and Brazil., null, JM/4_10, http://nssdc.gsfc.nasa.gov/spacewarn/spx676.html, www.orbital.com/NewsInfo/Publications/Intelsat16_Fact.pdf, http://www.lib.cas.cz/space.40/2010/006A.HTM, null, null, null, 2010, 6, A, null, *, +, INTELSAT 16 (IS-16), ITSO, 2010-01-12, TYMSC, null, 0, null, 35796, 35777, 266.9529, null
Intelsat 17 (IS-17), USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 66, 35770, 35804, 0.0004032545010318571, 0.03, 1436.12, 5540, 2393, null, 2010-11-26, 16 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 5, 2010-065B, 37238, 24 C-band. 25 Ku-band transponders serving Europe. the Middle East. Africa. Russia and Asia., null, SC - ASCR , http://satellite.tmcnet.com/topics/satellite/articles/121514-intelsat-launches-is-17-communications-satellite.htm, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/065B.HTM, null, null, null, null, 2010, 65, B, null, *, +, INTELSAT 17 (IS-17), ITSO, 2010-01-26, FRGUI, null, 0, null, 35798, 35775, 6.3096, null
Intelsat 18 (IS-18), USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 180, 35775, 35797, 0.0002609355726349749, 0.01, 1436.09, 3200, null, null, 2011-10-05, 15 yrs., Orbital Sciences Corp., USA, Baikonur Cosmodrome, Zenit, 2011-056A, 37834, 24 C-band. 12 Ku-band; Asia Pacific Region, null, JM/1_12, http://www.intelsat.com/press/news-releases/2011/20111005-1.asp, http://www.orbital.com/SatellitesSpace/Communications/Intelsat18/, null, null, null, null, 2011, 56, A, null, *, +, INTELSAT 18 (IS-18), ITSO, 2011-01-05, TYMSC, null, 0, null, 35799, 35773, 37.7529, null
Anik F1R, Canada, Canada, Telesat Canada Ltd. (BCE. Inc.), Commercial, Communications, null, GEO, null, -107.3, 35777, 35795, 0.0002134927412467976, 0.02, 1436.1, 4500, null, 10000, 2005-09-09, 15 yrs., EADS Astrium, France/UK/Germany/Spain, Baikonur Cosmodrome, Proton M, 2005-036A, 28868, 32 Ku-band. 24 C-band transponders. 2 navigation transponders; North America., null, JM/12_08, http://www.telesat.ca/satellites/index.htm, http://www.telesat.ca/news/2005/05-14.htm, http://www.space.eads.net/families/daily-life-benefits/communications/anik-f1r, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2005/036A.HTM, null, null, 2005, 36, A, null, *, +, ANIK F1R, CA, 2005-01-08, TYMSC, null, 0, null, 35800, 35773, 12.5892, null
Intelsat 19 (IS-19), USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 166, 35768, 35801, 0.0003914172864107035, 0.13, 1436.01, 5600, null, 15000, 2012-06-01, 15 yrs., Space Systems/Loral, USA, Sea Launch (Odyssey), Zenit, 2012-030A, 38356, Replacement for Intelsat 8. Damage to a solar panel; reduced power., null, ZARYA, http://www.intelsat.com/press/news-releases/2012/20120601-2.asp, http://www.spacenews.com/satellite_telecom/120619-is19-array-damage.html, http://www.zarya.info/Diaries/Launches/Launches.php?year=2012, https://www.google.com/#hl=en&sclient=psy-ab&q=Intelsat+19+power&oq=Intelsat+19+power&gs_l=hp.3...805.2249.6.2415.6.6.0.0.0.0.347.586.5j3-1.6.0.les%3B..0.0...1c.X-AE_mBHny4&pbx=1&bav=on.2.or.r_gc.r_pw.r_qf.&fp=142f60c45a4f3d69&biw=1191&bih=872, null, null, 2012, 30, A, null, *, +, INTELSAT 19 (IS-19), ITSO, 2012-01-01, SEAL, null, 0, null, 35800, 35773, 15.8188, null
Intelsat 1R (IS-1R. PAS-1R. PanAmSat 1R), USA, USA, PanAmSat (Intelsat. S.A.), Commercial, Communications, null, GEO, null, -44.96, 35785, 35788, 0.000035581701516966544, 0.06, 1436.11, 4793, 3000, 15000, 2000-11-15, 15 yrs., Boeing Satellite Systems, USA, Guiana Space Center, Ariane 5, 2000-072A, 26608, 36 C-band. 36 Ku-band; direct-to-home (DTH) digital video and Internet services; Americas. Caribbean. Europe. Africa; will be replaced by Intelsat 14., null, JM/12_08, http://host.planet4589.org/space/jsr/back/news.439, http://nssdc.gsfc.nasa.gov/spacewarn/spx565.html, http://www.panamsat.com/global_network/pas_1r.asp, null, null, null, 2000, 72, A, M, *, +, INTELSAT 1R (IS-1R), US, 2000-01-16, FRGUI, null, 1.8, null, 35787, 35786, 25.1189, null
Intelsat 20 (IS-20), USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 68.5, 35780, 35790, 0.00011860989206499822, 0.02, 1436.03, 6094, 2989, 19300, 2012-08-02, 18 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 5 ECA, 2012-043A, 38740, Replacement for Intelsat 7 and Intelsat 10. C-band and Ku-band for DTH television. cellularbackhaul and VSAT services., null, SC - ASCR, http://www.intelsat.com/press/news-releases/2012/20120802-1.asp, http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end, http://space50.kosmo.cz/s40/2012/043A.HTM, null, null, null, 2012, 43, A, null, *, +, INTELSAT 20 (IS-20), ITSO, 2012-01-02, FRGUI, null, 0, null, 35794, 35780, 1.2308, null
Intelsat 21 (IS-21), USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, -58, 35774, 35811, 0.000438778535428402, 0.06, 1436.39, 5984, 3600, null, 2012-08-19, 15 yrs., Boeing Satellite Systems, USA, Sea Launch (Odyssey), Zenit 3SL, 2012-045A, 38749, Will replace Intelsat 9 - Meet needs of key customers SKY Mexico. Turner. Discovery.Fox. Telespazio. etc., null, SC - ASCR, http://www.spaceflightnow.com/sealaunch/is21/, http:/www.zarya.info/Diaries/Launches/Launches.php?year=2012#end, http://www.intelsat.com/press/news-releases/2012/20120819-1.asp, null, null, null, 2012, 45, A, null, *, +, INTELSAT 21 (IS-21), ITSO, 2012-01-19, SEAL, null, 0, null, 35797, 35777, 52.4, null
Intelsat 22, USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 72, 35781, 35792, 0.00013046623889554398, 0.03, 1436.11, 6199, null, null, 2012-03-25, 18 yrs., Boeing Space & Intelligence Systems, USA, Baikonur Cosmodrome, Proton, 2012-011A, 38098, Provide C-band and Ku-band communications services over Africa. Asia. Europe and the Middle East. Intelsat 22 also carries a hosted UHF payload for the Australian Defence Force., null, null, http://www.nasaspaceflight.com/2012/03/ils-proton-m-launch-intelsat-22-debut-supersynchronous-mission/, http://www.spaceflightnow.com/proton/is22/status.html, null, null, null, null, 2012, 11, A, null, *, +, INTELSAT 22 (IS-22), ITSO, 2012-01-25, TYMSC, null, 0, null, 35796, 35776, 0.003, null
Intelsat 23, NR, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 307, 35781, 35797, 0.00018975782158020825, 0.03, 1436.21, 3200, 1503, null, 2012-10-14, 15-18 yrs., Orbital Sciences Corp., USA, Baikonur Cosmodrome, Proton/M, 2012-057A, 38867, 15 Ku-band. 24 C-band. Americas. Caribbean. Western Europe. Africa., null, SC - ASCR , http://space0.kosmo.cz/s40/2012/I057A.HTM, http://www.intelsat.com/press/news-releases/2012/20121014-1.asp, http://www.orbital.com/SatellitesSpace/Communications/Intelsat23/, null, null, null, 2012, 57, A, null, *, +, INTELSAT 23 (IS-23), ITSO, 2012-01-14, TYMSC, null, 0, null, 35795, 35779, 113.2145, null
Intelsat 25 (IS-25. Protostar 1. Chinasat 8), NR, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 328.5, 35778, 35793, 0.00017791272787655228, 0.02, 1436.1, 4100, null, 11000, 2008-07-07, 16 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 5 ECA, 2008-034A, 33153, First satellite of fleet; provides service in Asia. Purchased at auction by Intelsat in October. 2009 for $210 million., null, JM/12_08, http://www.protostarsat.com/fleet.html, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2008/034A.HTM, http://nssdc.gsfc.nasa.gov/spacewarn/spx657.html, http://www.intelsat.com/press/news-releases/2009/20091030.asp, http://www.spacenews.com/satellite_telecom/100514-failures-stunt-growth-intelsat.html, null, 2008, 34, A, null, *, +, INTELSAT 25 (IS-25), ITSO, 2008-01-07, FRGUI, null, 0, null, 35793, 35780, 12.685, null
Intelsat 26 (JCSat R. JCSAT-4. Japan Communications Satellite 4), Japan, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 50, 35779, 35794, 0.0001779085075848327, 0.02, 1436.1, 3124, 1841, 5200, 1997-02-16, 12 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Atlas 2AS, 1997-007A, 24732, Backup for JCSAT-3; 12 C-band. 12 Ku-band; relay voice. data. television signals via Ku-band to eastern Asia. Australia. New Zealand. India; via C-band to eastern and southern Asia and Hawaii. Digital TV. Sold to Intelsat in 2010., null, JM/12_08, http://www.jsat.net/en/satellite/pop_list.html, http://www.jsat.net/en/satellite/pop_list.html, http://www.boeing.com/defense-space/space/bss/factsheets/601/jcsat34/jcsat34.html, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://www.spacenews.com/satellite_telecom/100318-intelsat-loaning-turksat-placeholder-satellite.html, null, 1997, 7, A, M, *, +, INTELSAT 26 (IS-26), ITSO, 1997-01-17, AFETR, null, 8.5, null, 35813, 35759, 25.1486, null
Intelsat 29E, NR (5/16), USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, -50, 35785, 35788, 0.000035581701516966544, 0.09, 1436.11, 6500, null, null, 2016-01-27, 15+ yrs., Boeing Satellite Systems, USA, Guiana Space Center, Ariane 5, 2016-004A, 41308, New EPIC class of Intelsat satellites., null, JM/5_16, http://spaceflightnow.com/2016/01/28/first-intelsat-epic-satellite-deployed-by-ariane-5-rocket/, http://www.planet4589.org/space/log/geo.log, null, null, null, null, 2016, 4, A, null, *, -, INTELSAT 29E (IS-29E), ITSO, 2016-01-27, FRGUI, null, 0.1, null, 35829, 35564, 12.8176, null
Intelsat 30/DLA 1, NR, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, -95, 35776, 35793, 0.00020163920815096845, 0.03, 1435.97, 6220, null, null, 2014-10-16, 15+ yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 5 ECA, 2014-062A, 40271, 72 Ku-band transponders and 10 C-band transponders. Hosts DLA-1. DirecTV to Latin America., null, ZARYA, http://spaceflightnow.com/ariane/va220/141016preview/#.VNkG4i5ryiw, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, 2014, 62, A, null, *, +, INTELSAT 30 (IS-30), ITSO, 2014-01-16, FRGUI, null, 0, null, 35794, 35779, 316.3552, null
Anik F2 , Canada, Canada, Telesat Canada Ltd. (BCE. Inc.), Commercial, Communications, null, GEO, null, -111.07, 35781, 35790, 0.00010674763672593138, 0.01, 1436.08, 5910, 3805, 16000, 2004-07-18, 15 yrs., Boeing Satellite Systems, USA, Guiana Space Center, Ariane 5, 2004-027A, 28378, 24 30W C-band. 40 127W Ku-band. 50 90W transponders for broadband and telemedicine to northern US states and Canada, null, JM/12_08, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://www.telesat.ca/satellites/index.htm, http://www.boeing.com/defense-space/space/bss/factsheets/702/anik_f2/anik_f2.html, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2004/027A.HTM, null, null, 2004, 27, A, null, *, +, ANIK F2, CA, 2004-01-18, FRGUI, null, 0, null, 35788, 35786, 36.6346, null
Intelsat 31/DLA 2, NR (6/16), USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, -95, 35580, 35860, 0.003326205749584224, 0.01, 1435.1, 6450, null, null, 2016-06-09, 20 yrs., Space Systems/Loral, USA, Baikonur Cosmodrome, Proton, 2016-035A, 41581, DirecTV Latin America has leased all of the satellite’s Ku-band communications capacity to broadcast hundreds of high-definition television channels to customers across Central and South America and the Caribbean. Intelsat retains the use of a smaller C-band payload on the spacecraft., null, Space50, http://spaceflightnow.com/2016/06/09/upgraded-proton-booster-adds-satellite-to-intelsats-fleet/, http://space50.org/objekt.php?rok=2006&mot=2016-035A&jazyk=pp_en, http://www.sslmda.com/html/satexp/isdla1_2.html, null, null, null, 2016, 35, A, null, *, +, INTELSAT 31 (IS-31), ITSO, 2016-01-09, TYMSC, null, 0, null, 35797, 35777, 7.8945, null
Intelsat 34, NR (6/16), USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 304.5, 35777, 35811, 0.00040318755336305856, 0.1, 1436.1, 3300, null, null, 2015-08-20, 15 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 5, 2015-039A, 40874, null, null, JM/8_15, http://www.nasaspaceflight.com/2015/08/ariane-5-dual-launch-eutelsat-8-west-b-intelsat-34/, null, null, null, null, null, 2015, 39, A, null, *, +, INTELSAT 34 (IS-34), ITSO, 2015-01-20, FRGUI, null, 0, null, 35787, 35786, 16.5703, null
Intelsat 5 (Arabsat 2C. Panamsat-5. PAS-5), USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 26.11, 35774, 35798, 0.0002846569883290635, 0.03, 1436.09, 2730, 2519, 9700, 1997-08-28, 15 yrs., Hughes Space and Communications Group, USA, Baikonur Cosmodrome, Proton K, 1997-046A, 24916, 28 C-band. 28 Ku-band; covers Arab world. Inclined., null, null, null, null, null, null, null, null, 1997, 46, A, M, *, +, INTELSAT 5 (IS-5), US, 1997-01-28, TYMSC, null, 4.9, null, 35806, 35767, 25.1189, null
Intelsat 701 , NR, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 179.94, 35775, 35797, 0.0002609355726349749, 0.01, 1436.08, 3642, 1450, 3900, 1993-10-22, 10-15 yrs., Hughes Space and Communications Group, USA, Guiana Space Center, Ariane 44L, 1993-066A, 22871, 42 C-band. 24 Ku-band; broadcasting. business services. direct-to-home TV broadcasting. telecommunications. VSATnetworks; Pacific Ocean region. , null, JM/12_08, samadhi.jpl.nasa.gov, www.intelsat.com, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, null, 1993, 66, A, null, *, -, INTELSAT 701 (IS-701), ITSO, 1993-01-22, FRGUI, null, 5.5, null, 36074, 36038, 517.4451, null
Intelsat 702 , NR, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 47.50, 35776, 35796, 0.00023721415694088623, 0.02, 1436.1, 3642, 1450, 3900, 1994-06-17, 15 yrs., Loral Space Systems, USA, Guiana Space Center, Ariane 44LP, 1994-034A, 23124, 42 C-band. 24 Ku-band; broadcasting. business services. direct-to-home TV broadcasting. telecommunications. VSATnetworks; Pacific Ocean region. , null, JM/12_08, http://www.fcc.gov/document/international-bureau-policy-branch-information-actions-taken, www.intelsat.com, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, null, 1994, 34, A, null, *, -, INTELSAT 702 (IS-702), ITSO, 1994-01-17, FRGUI, null, 5.8, null, 36209, 36118, 3.7932, null
Intelsat 8 (IS-8. PAS-8) , USA, USA, PanAmSat (Intelsat. S.A.), Commercial, Communications, null, GEO, null, 169, 35774, 35798, 0.0002846569883290635, 0.02, 1436.08, 3592, 2100, null, 1998-11-04, 15 yrs., Space Systems/Loral, USA, Baikonur Cosmodrome, Proton K, 1998-065A, 25522, Television broadcast; 24 Ku-band; Asia-Pacific., null, JM/12_08, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx541.html, http://www.panamsat.com/global_network/pas_8.asp, null, null, null, 1998, 65, A, M, *, -, INTELSAT 8 (IS-8), US, 1998-01-04, TYMSC, null, 2.6, null, 38552, 35999, 39.8107, null
Intelsat 805 , NR, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, -55.49, 35775, 35797, 0.0002609355726349749, 0.01, 1436.08, 3420, 2200, 4900, 1998-06-18, 14 yrs., Lockheed Martin Commercial Space Systems, USA, Guiana Space Center, Ariane 42L, 1998-037A, 25371, 36 C-band. 6 Ku-band. broadcasting. business services. direct-to-home TV broadcasting. telecommunications. VSAT networks; Atlantic Ocean region., null, JM/12_08, null, www.intelsat.com, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, null, 1998, 37, A, null, *, +, INTELSAT 805 (IS-805), ITSO, 1998-01-18, AFETR, null, 1.5, null, 35803, 35769, 13.7602, null
Intelsat 9 (IS-9. PAS-9) , USA, USA, PanAmSat (Intelsat. S.A.), Commercial, Communications, null, GEO, null, -58, 35782, 35792, 0.00011860426500936973, 0.01, 1436.14, 3659, 2.389 (BOL), 9900, 2000-07-28, 15 yrs., Hughes, USA, Sea Launch (Odyssey), Zenit 3SL, 2000-043A, 26451, 160 voice. video. data. and Internet channels; 24 C-band. 24 Ku-band; Americas. Caribbean. Europe., null, JM/12_08, http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/00_07_28_pas9launch.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx561.html, http://www.panamsat.com/global_network/pas_9.asp, null, null, null, 2000, 43, A, M, *, +, INTELSAT 9 (IS-9), US, 2000-01-28, SEAL, null, 4.9, null, 35805, 35769, 36.1908, null
Intelsat 901 , USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, -18.01, 35775, 35798, 0.0002727930449634101, 0.01, 1436.12, 4723, 1972, 10000, 2001-06-09, 13 yrs., Lockheed Martin Commercial Space Systems, USA, Cape Canaveral, Atlas 2AS, 2001-024A, 26824, 72 C-band. 22 Ku-band. broadcasting. business services. direct-to-home TV broadcasting. telecommunications. VSAT networks; Atlantic Ocean region., null, JM/12_08, null, http://www.intelsat.com/resources/satellites/facts.aspx, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, null, 2001, 24, A, null, *, +, INTELSAT 901 (IS-901), ITSO, 2001-01-09, FRGUI, null, 0.9, null, 35800, 35773, 15.9919, null
Intelsat 902 , USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 62.05, 35775, 35797, 0.0002609355726349749, 0.02, 1436.1, 4723, 1972, 8500, 2001-08-30, 13 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 44L, 2001-039A, 26900, 76 C-band. 22 Ku-band. broadcasting. business services. direct-to-home TV broadcasting. telecommunications. VSAT networks; Indian Ocean region., null, JM/12_08, null, http://www.intelsat.com/resources/satellites/facts.aspx, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, null, 2001, 39, A, null, *, +, INTELSAT 902 (IS-902), ITSO, 2001-01-30, FRGUI, null, 0, null, 35798, 35773, 14.1589, null
Anik F3, Canada, Canada, Telesat Canada Ltd. (BCE. Inc.), Commercial, Communications, null, GEO, null, -118.69, 35778, 35794, 0.000189771325552709, 0.01, 1436.1, 4715, null, 17500, 2007-04-09, 15 yrs., EADS Astrium, France/UK/Germany/Spain, Baikonur Cosmodrome, Proton M, 2007-009A, 31102, 32 Ku-band. 24 C-band and 2 Ka-band transponders; voice and video throughout North America., null, JM/12_08, http://nssdc.gsfc.nasa.gov/spacewarn/spx642.html, http://www.telesat.ca/satellites/index-e.asp, null, null, null, null, 2007, 9, A, null, *, +, ANIK F3, CA, 2007-01-09, TYMSC, null, 0, null, 35795, 35776, 28.2172, null
Intelsat 903 , USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, -34.55, 35773, 35802, 0.0003439482891537686, 0.02, 1436.16, 4723, 1972, 8600, 2002-03-30, 13 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 44L, 2002-016A, 27403, 76 C-band. 22 Ku-band. broadcasting. business services. direct-to-home TV broadcasting. telecommunications. VSAT networks; Atlantic Ocean region., null, JM/12_08, http://www.loral.com/inthenews/020330.html, http://www.intelsat.com/resources/satellites/facts.aspx, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, null, 2002, 16, A, null, *, +, INTELSAT 903 (IS-903), ITSO, 2002-01-30, TYMSC, null, 1.3, null, 35797, 35773, 28.7458, null
Intelsat 904 , USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 60.05, 35782, 35789, 0.0000830259396757244, 0.01, 1436.07, 4680, 2350, 8500, 2002-02-23, 13 yrs., Space Systems/Loral, USA, Baikonur Cosmodrome, Proton K, 2002-007A, 27380, 76 C-band. 22 Ku-band. broadcasting. business services. direct-to-home TV broadcasting. telecommunications. VSAT networks; Indian Ocean region., null, JM/12_08, null, http://www.intelsat.com/resources/satellites/facts.aspx, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, null, 2002, 7, A, null, *, +, INTELSAT 904 (IS-904), ITSO, 2002-01-23, FRGUI, null, 0.5, null, 35824, 35807, 23.7928, null
Intelsat 905 , USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, -24.52, 35768, 35805, 0.0004388409853759207, 0.01, 1436.12, 4723, 1984, 10000, 2002-06-05, 13 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 44L, 2002-027A, 27438, 76 C-band. 22 Ku-band. broadcasting. business services. direct-to-home TV broadcasting. telecommunications. VSAT networks; Atlantic Ocean region., null, JM/12_08, null, http://www.intelsat.com/resources/satellites/facts.aspx, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, null, 2002, 27, A, null, *, +, INTELSAT 905 (IS-905), ITSO, 2002-01-05, FRGUI, null, 0.3, null, 35798, 35775, 15.8865, null
Intelsat 906 , USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 64.19, 35775, 35796, 0.0002490778190271732, 0.01, 1436.07, 4723, 1955, 7000, 2002-09-06, 13 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 44L, 2002-041A, 27513, 72 C-band. 22 Ku-band. broadcasting. business services. direct-to-home TV broadcasting. telecommunications. VSAT networks., null, JM/12_08, null, http://www.intelsat.com/resources/satellites/facts.aspx, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, null, 2002, 41, A, null, *, +, INTELSAT 906 (IS-906), ITSO, 2002-01-06, FRGUI, null, 0, null, 35795, 35777, 22.2955, null
Intelsat 907 , USA, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, -27.45, 35770, 35803, 0.00039139871668663197, 0.02, 1436.1, 4685, 1973, 10000, 2003-02-15, 13 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 44L, 2003-007A, 27683, 76 C-band transponders; business. video. internet., null, JM/12_08, null, http://www.intelsat.com/resources/satellites/facts.aspx, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, null, 2003, 7, A, null, *, +, INTELSAT 907 (IS-907), ITSO, 2003-01-15, FRGUI, null, 0, null, 35799, 35775, 10, null
Intelsat APR-2 (INSAT 2E), India, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 83.03, 35769, 35804, 0.0004151198510312763, 0.18, 1436.11, 2550, 1150, 2000, 1999-04-03, 12 yrs., Aerospatiale , France, Xichang Satellite Launch Center, Long March CZ3B, 1999-016A, 25666, 6 C-band. broadcasting. business services. direct-to-home TV broadcasting. telecommunications. VSAT networks; Asia Pacific region., null, JM/12_08, http://www.isro.org/insat2e.htm, www.intelsat.com, null, null, null, null, 1999, 16, A, null, *, -, INSAT-2E (APR-1), IND, 1999-01-02, FRGUI, null, 6.5, null, 36004, 35917, 6.3803, null
Intelsat New Dawn (Intelsat 28), NR, USA, Intelsat. S.A., Commercial, Communications, null, GEO, null, 32.8, 35800, 35892, 0.001089634261891226, 0.05, 1439.15, 3000, 1283, 4800, 2011-04-22, 15 yrs., Orbital Sciences Corp., USA, Guiana Space Center, Ariane 5, 2011-016A, 37392, Carries 14 active C-band transponders and 16 Ku-band transponders to serve customers in Africa. the Middle East. Pakistan and Western Europe; the C-band antenna has failed to deploy as of 6/11., null, SC - ASCR, http://www.spaceflightnow.com/news/n1105/26newdawn/, http://www.lib.cas.cz/space.40/2011/016A.HTM, http://www.intelsat.com/network/satellite/Intelsat-New-Dawn/about-new-dawn.asp, null, null, null, 2011, 16, A, null, *, +, INTELSAT NEW DAWN, ITSO, 2011-01-22, FRGUI, null, 0, null, 35789, 35784, 25.1189, null
